id,item,cat,qty,totalCost,date,notes,type,missingFromBox,,
moa9svt36syd,Mirror (5 pcs),Mirror,5,2370,2025-12-18,Batch 1,purchase,0,0,1
moa9svt3own5,Golden Ring (28 pcs),Golden Ring,36,1020,2025-12-19,Batch 2 | GOLD & Silver,purchase,8,143,2
moa9svt3yaa8,Gothic Claws (12 pcs),Goth Claw,12,1240,2026-01-29,Batch 3,purchase,0,0,3
moa9svt3jppy,Red Rings (40 pcs),Red Ring,40,962,2026-01-29,Batch 3 | RED | Butterfly,purchase,0,0,3
moa9svt3tfip,Bangles (10 pcs),Bangle,10,1286,2026-02-01,Batch 4 | Golden Bangles,purchase,0,0,4
moa9svt3ezb2,Fish Claw (10 pcs),Fish Claw,10,1171,2026-03-10,Batch 5 | Gold & Silver & Other,purchase,1,72.22,5
moa9svt398bq,Fish Claw (8 pcs),Fish Claw,8,1189,2026-04-19,Batch 6,purchase,0,0,6
moa9svt3u4qf,Hairpin (9+6=15 pcs),Hairpin,15,1012,2026-04-19,Batch 6,purchase,6,333,6
moa9svt3rl5g,Market Stall Fee,Other,1,350,2026-05-20,Setup cost,purchase,0,0,0
mob3mup90r53,Hairpin (2 pcs),Hairpin,2,215,2026-03-10,Batch 5,purchase,1,36,5
mok45ina87vw,Perfume,Perfume,25,615,2026-04-27,Batch 7,purchase,0,0,7
mold9udb9dcp,Mini USB Fan,USB Fan,10,500,2026-04-30,Batch 8 | From Fahimur Raman Hridoy,purchase,0,0,8
moxs25dx1dqw,Bracelets,Bracelets,4,690,2026-05-08,Peble Stone Bracelets | Batch 9,purchase,0,0,9
moxs5p8hoheh,Mini USB Fan,USB Fan,10,694,2026-05-08,B&W from Move On | Batch 9,purchase,0,0,9
